INSERT INTO bike_order (bike_id, order_price) VALUES
("365","4000"),
("366","2700"),
("367","14000"),
("368","13000"),
("369","3000"),
("370","3500"),
("371","3000"),
("372","2200"),
("373","3000"),
("374","7500"),
("375","10000"),
("376","3150"),
("377","10000"),
("378","5000"),
("379","2900"),
("380","1400"),
("381","3000"),
("382","3800"),
("383","14000"),
("384","1000"),
("385","1100"),
("386","2000"),
("387","3150"),
("388","14000"),
("389","8900"),
("390","8900"),
("391","7500"),
("392","1200"),
("393","13000"),
("394","1400"),
("395","8900"),
("396","3000"),
("397","1200"),
("398","2700"),
("399","2700"),
("400","1300"),
("401","2200"),
("402","2400"),
("403","2000"),
("404","5000"),
("405","3150"),
("406","500"),
("407","2200"),
("408","2900"),
("409","2400"),
("410","1200"),
("411","2400"),
("412","14000"),
("413","400"),
("414","3000"),
("415","10000"),
("416","14000"),
("417","2700"),
("418","4000"),
("419","1200"),
("420","5000"),
("421","14000"),
("422","2700"),
("423","500"),
("424","400"),
("425","1100"),
("426","14000"),
("427","1000"),
("428","500"),
("429","2700"),
("430","6800"),
("431","2200"),
("432","2200"),
("433","1400"),
("434","1000"),
("435","2900"),
("436","2200"),
("437","1400"),
("438","2000"),
("439","2600"),
("440","6800"),
("441","1400"),
("442","3500"),
("443","4000"),
("444","2900"),
("445","2600"),
("446","1400"),
("447","2200"),
("448","3000"),
("449","2200"),
("450","2400"),
("451","2400"),
("452","500"),
("453","2200"),
("454","13000"),
("455","2000"),
("456","6800"),
("457","3500"),
("458","5000"),
("459","1400"),
("460","2900"),
("461","400"),
("462","2000"),
("463","8900"),
("464","2400"),
("465","3150"),
("466","1100"),
("467","8900"),
("468","7500"),
("469","400"),
("470","8900"),
("471","1200"),
("472","5000"),
("473","3000"),
("474","4000"),
("475","2000"),
("476","13000"),
("477","1100"),
("478","2400"),
("479","8900"),
("480","7500"),
("481","500"),
("482","3000"),
("483","7500"),
("484","2000"),
("485","500"),
("486","1100"),
("487","1000"),
("488","14000"),
("489","5000"),
("490","3800"),
("491","1400"),
("492","5000"),
("493","1200"),
("494","1000"),
("495","4000"),
("496","1400"),
("497","14000"),
("498","10000"),
("499","3000"),
("500","500"),
("501","3500"),
("502","8900"),
("503","3500"),
("504","14000"),
("505","13000"),
("506","2900"),
("507","4000"),
("508","8900"),
("509","2900"),
("510","3000"),
("511","2000"),
("512","2900"),
("513","6800"),
("514","14000"),
("515","2700"),
("516","1200"),
("517","7500"),
("518","2000"),
("519","500"),
("520","3800"),
("521","10000"),
("522","2600"),
("523","2700"),
("524","3500"),
("525","3800"),
("526","2900"),
("527","1000"),
("528","2000"),
("529","10000"),
("530","13000"),
("531","2900"),
("532","10000"),
("533","8900"),
("534","10000"),
("535","3500"),
("536","7500"),
("537","2600"),
("538","500"),
("539","2000"),
("540","3150"),
("541","1000"),
("542","2900"),
("543","3150"),
("544","1000"),
("545","8900"),
("546","1400"),
("547","4000"),
("548","8900"),
("549","1100"),
("550","1100"),
("551","5000"),
("552","3800"),
("553","2000"),
("554","3500"),
("555","2200"),
("556","2400"),
("557","3800"),
("558","3000"),
("559","10000"),
("560","2700"),
("561","1200"),
("562","2900"),
("563","1300"),
("564","3500"),
("565","14000"),
("566","1400"),
("567","14000"),
("568","2700"),
("569","3000"),
("570","3500"),
("571","6800"),
("572","4000"),
("573","500"),
("574","2200"),
("575","10000"),
("576","1300"),
("577","2600"),
("578","1000"),
("579","3800"),
("580","6800"),
("581","3500"),
("582","13000"),
("583","3150"),
("584","3800"),
("585","2700"),
("586","3500"),
("587","2200"),
("588","500"),
("589","2400"),
("590","1300"),
("591","10000"),
("592","2700"),
("593","2700"),
("594","1100"),
("595","1200"),
("596","1400"),
("597","4000"),
("598","5000"),
("599","2000"),
("600","2700"),
("601","2900"),
("602","3800"),
("603","8900"),
("604","1400"),
("605","2900"),
("606","400"),
("607","1100"),
("608","2400"),
("609","5000"),
("610","5000"),
("611","1400"),
("612","13000"),
("613","1300"),
("614","2000"),
("615","4000"),
("616","2200"),
("617","1000"),
("618","2000"),
("619","2200"),
("620","2400"),
("621","1100"),
("622","1400"),
("623","8900"),
("624","2000"),
("625","3000"),
("626","8900"),
("627","1000"),
("628","1100"),
("629","2000"),
("630","2000"),
("631","5000"),
("632","6800"),
("633","2900"),
("634","10000"),
("635","3150"),
("636","8900"),
("637","3800"),
("638","1400"),
("639","2700"),
("640","400"),
("641","2600"),
("642","1300"),
("643","8900"),
("644","8900"),
("645","2700"),
("646","400"),
("647","10000"),
("648","1200"),
("649","2600"),
("650","1200"),
("651","3500"),
("652","400"),
("653","3150"),
("654","1100"),
("655","10000"),
("656","1300"),
("657","14000"),
("658","8900"),
("659","2400"),
("660","1100"),
("661","2900"),
("662","1300"),
("663","2000"),
("664","3150"),
("665","1400"),
("666","500"),
("667","2600"),
("668","10000"),
("669","3000"),
("670","3800"),
("671","2600"),
("672","400"),
("673","1200"),
("674","7500"),
("675","2600"),
("676","7500"),
("677","7500"),
("678","2200"),
("679","1400"),
("680","3800"),
("681","1300"),
("682","2200"),
("683","6800"),
("684","1000"),
("685","2200"),
("686","1000"),
("687","1200"),
("688","2600"),
("689","7500"),
("690","1300"),
("691","3500"),
("692","400"),
("693","2000"),
("694","1200"),
("695","3500"),
("696","13000"),
("697","3150"),
("698","8900"),
("699","3800"),
("700","3500"),
("701","500"),
("702","2200"),
("703","1300"),
("704","8900"),
("705","500"),
("706","2400"),
("707","3000"),
("708","10000"),
("709","6800"),
("710","3800"),
("711","5000"),
("712","14000"),
("713","5000"),
("714","1400"),
("715","400"),
("716","2900"),
("717","1400"),
("718","13000"),
("719","1000"),
("720","14000"),
("721","8900"),
("722","2400"),
("723","2700"),
("724","400"),
("725","8900"),
("726","6800"),
("727","500"),
("728","3800"),
("729","10000"),
("730","400"),
("731","400"),
("732","2200"),
("733","3500"),
("734","3150"),
("735","4000"),
("736","3800"),
("737","2700"),
("738","14000"),
("739","6800"),
("740","2400"),
("741","1100"),
("742","3500"),
("743","1400"),
("744","1100"),
("745","10000"),
("746","2700"),
("747","1100"),
("748","1300"),
("749","2200"),
("750","2900"),
("751","2200"),
("752","13000"),
("753","2000"),
("754","3150"),
("755","3000"),
("756","2600"),
("757","2600"),
("758","500"),
("759","400"),
("760","13000"),
("761","1200"),
("762","400"),
("763","8900"),
("764","1300"),
("765","1400"),
("766","10000"),
("767","13000"),
("768","1400"),
("769","500"),
("770","400"),
("771","4000"),
("772","2600"),
("773","3000"),
("774","500"),
("775","8900"),
("776","2900"),
("777","3150"),
("778","3800"),
("779","14000"),
("780","4000"),
("781","2600"),
("782","8900"),
("783","2000"),
("784","3150"),
("785","2400"),
("786","10000"),
("787","1000"),
("788","400"),
("789","2900"),
("790","1300"),
("791","5000"),
("792","2900"),
("793","3000"),
("794","2000"),
("795","2000"),
("796","3800"),
("797","6800"),
("798","14000"),
("799","2200"),
("800","6800"),
("801","6800"),
("802","2400"),
("803","10000"),
("804","500"),
("805","2900"),
("806","3800"),
("807","2400"),
("808","1100"),
("809","10000"),
("810","400"),
("811","7500"),
("812","3150"),
("813","2400"),
("814","2900"),
("815","500"),
("816","5000"),
("817","2400"),
("818","5000"),
("819","3800"),
("820","13000"),
("821","1300"),
("822","1300"),
("823","14000"),
("824","2900"),
("825","2700"),
("826","1100"),
("827","1400"),
("828","2700"),
("829","2600"),
("830","7500"),
("831","1200"),
("832","500"),
("833","5000"),
("834","2600"),
("835","3000"),
("836","2000"),
("837","10000"),
("838","2400"),
("839","3000"),
("840","2700"),
("841","3000"),
("842","400"),
("843","8900"),
("844","400"),
("845","2200"),
("846","10000"),
("847","2900"),
("848","8900"),
("849","3800"),
("850","1100"),
("851","3000"),
("852","2700"),
("853","8900"),
("854","2400"),
("855","10000"),
("856","500"),
("857","2000"),
("858","1300"),
("859","400"),
("860","1000"),
("861","400"),
("862","1300"),
("863","2600"),
("864","2000"),
("865","6800"),
("866","10000"),
("867","3500"),
("868","6800"),
("869","2400"),
("870","1200"),
("871","4000"),
("872","2200"),
("873","1300"),
("874","3500"),
("875","3150"),
("876","3800"),
("877","14000"),
("878","7500"),
("879","2000"),
("880","2600"),
("881","1400"),
("882","2200"),
("883","2600"),
("884","2700"),
("885","2400"),
("886","3800"),
("887","8900"),
("888","13000"),
("889","2400"),
("890","13000"),
("891","1300"),
("892","2700"),
("893","1300"),
("894","3000"),
("895","7500"),
("896","3500"),
("897","13000"),
("898","14000"),
("899","2000");
("900","1000"),
